,,,Total,Total,Total,Not a high school graduate,Not a high school graduate,Not a high school graduate,High school graduate,High school graduate,High school graduate,Some college/associate's degree,Some college/associate's degree,Some college/associate's degree,Bachelor's degree,Bachelor's degree,Bachelor's degree,Advanced degree,Advanced degree,Advanced degree
,,,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error
Black,Female,2017,37585.0,10684.0,562.0,20316.0,672.0,1444.0,26507.0,2886.0,951.0,33131.0,3814.0,980.0,48158.0,2111.0,1014.0,69498.0,1199.0,1942.0
Black,Female,2016,35576.0,10524.0,568.0,21023.0,727.0,2128.0,24763.0,2915.0,480.0,31087.0,3837.0,1069.0,47036.0,1862.0,920.0,67707.0,1182.0,2413.0
Black,Female,2015,35521.0,10170.0,731.0,15665.0,786.0,690.0,24047.0,2856.0,470.0,30951.0,3732.0,818.0,48842.0,1753.0,1962.0,75911.0,1041.0,5008.0
Black,Female,2014,32313.0,10012.0,491.0,18852.0,674.0,1308.0,23785.0,2868.0,588.0,28290.0,3773.0,849.0,45149.0,1707.0,924.0,59429.0,988.0,2339.0
Black,Female,2013,31531.0,9675.0,458.0,15831.0,747.0,629.0,23349.0,2801.0,477.0,27564.0,3531.0,521.0,44139.0,1684.0,1088.0,61698.0,909.0,2994.0
Black,Female,2012,31808.0,9544.0,497.0,18178.0,685.0,1965.0,22783.0,2747.0,755.0,28363.0,3593.0,786.0,45282.0,1644.0,1292.0,59675.0,874.0,1587.0
Black,Female,2011,31455.0,9343.0,508.0,13893.0,801.0,502.0,23795.0,2728.0,1007.0,28771.0,3310.0,717.0,42721.0,1640.0,868.0,60889.0,862.0,2654.0
Black,Female,2010,30421.0,9216.0,426.0,15467.0,759.0,683.0,21690.0,2668.0,337.0,27884.0,3491.0,611.0,41665.0,1526.0,818.0,64532.0,772.0,3222.0
Black,Female,2009,29831.0,9087.0,416.0,15644.0,756.0,538.0,22964.0,2806.0,747.0,26748.0,3276.0,435.0,42587.0,1552.0,807.0,59073.0,694.0,3053.0
Black,Female,2008,29734.0,9392.0,384.0,13976.0,881.0,521.0,23195.0,2893.0,428.0,27354.0,3428.0,397.0,42858.0,1491.0,1115.0,60430.0,697.0,3147.0
Black,Female,2007,31317.0,9365.0,631.0,14869.0,868.0,540.0,24724.0,3001.0,1008.0,31850.0,3320.0,1359.0,41560.0,1526.0,963.0,57076.0,647.0,1982.0
Black,Female,2006,29371.0,9302.0,527.0,14277.0,961.0,531.0,22643.0,3092.0,762.0,28706.0,3246.0,883.0,44326.0,1417.0,1911.0,57206.0,584.0,1798.0
Black,Female,2005,27314.0,9163.0,304.0,14300.0,968.0,488.0,20449.0,3051.0,331.0,25422.0,3116.0,431.0,43516.0,1401.0,959.0,54044.0,626.0,1837.0
Black,Female,2004,25738.0,8963.0,284.0,12785.0,1015.0,399.0,20284.0,3019.0,291.0,24468.0,3015.0,402.0,38626.0,1391.0,938.0,55436.0,522.0,1975.0
Black,Female,2003,25735.0,8919.0,430.0,14513.0,1056.0,558.0,19623.0,3030.0,384.0,24007.0,2963.0,487.0,41066.0,1355.0,1977.0,54346.0,514.0,2972.0
Black,Female,2002,25131.0,8868.0,328.0,13748.0,1075.0,385.0,20209.0,2989.0,573.0,23679.0,2972.0,388.0,38741.0,1301.0,1019.0,50766.0,529.0,2027.0
Black,Female,2001,24036.0,8956.0,363.0,15912.0,1172.0,2049.0,18683.0,2970.0,289.0,23511.0,3023.0,360.0,35448.0,1269.0,860.0,48080.0,521.0,1713.0
Black,Female,2000,22884.0,9056.0,252.0,12321.0,1198.0,401.0,18510.0,3078.0,403.0,22937.0,3140.0,324.0,35719.0,1179.0,851.0,46416.0,459.0,1532.0
Black,Female,1999,21742.0,9076.0,370.0,10762.0,1194.0,454.0,16541.0,3163.0,338.0,22733.0,3049.0,553.0,33251.0,1162.0,1132.0,47635.0,509.0,3589.0
Black,Female,1998,20026.0,8713.0,299.0,11372.0,1212.0,675.0,15892.0,3078.0,357.0,20371.0,2870.0,470.0,31952.0,1105.0,1012.0,40214.0,448.0,1496.0
Black,Female,1997,19161.0,8503.0,286.0,10607.0,1132.0,399.0,15789.0,3102.0,371.0,19643.0,2794.0,452.0,29091.0,1027.0,946.0,38392.0,448.0,1902.0
Black,Female,1996,19271.0,8129.0,592.0,10337.0,1094.0,526.0,15379.0,3008.0,433.0,21581.0,2736.0,1555.0,29311.0,954.0,1402.0,35785.0,337.0,1542.0
Black,Female,1995,17485.0,7757.0,277.0,10739.0,1108.0,544.0,14473.0,2641.0,433.0,17985.0,2679.0,429.0,25577.0,1025.0,768.0,36585.0,304.0,1616.0
Black,Female,1994,17200.0,7745.0,326.0,9150.0,1099.0,423.0,14333.0,2777.0,356.0,16589.0,2651.0,472.0,28356.0,921.0,946.0,44618.0,297.0,4220.0
Black,Female,1993,16336.0,7481.0,371.0,8562.0,1048.0,388.0,13550.0,2746.0,730.0,16778.0,2475.0,495.0,25865.0,917.0,1073.0,36485.0,296.0,1862.0
Black,Female,1992,15542.0,7165.0,271.0,8719.0,1005.0,426.0,13504.0,2754.0,351.0,15445.0,2316.0,468.0,24465.0,806.0,921.0,34880.0,285.0,1431.0
Black,Female,1991,15064.0,7035.0,281.0,9151.0,1237.0,512.0,12810.0,2781.0,366.0,15742.0,2011.0,469.0,25235.0,733.0,1110.0,32470.0,273.0,1623.0
Black,Female,1990,14449.0,6950.0,221.0,8946.0,1290.0,402.0,12560.0,3036.0,269.0,15734.0,1632.0,466.0,23837.0,653.0,827.0,28074.0,338.0,1265.0
Black,Female,1989,14122.0,6946.0,215.0,7827.0,1269.0,403.0,12701.0,3046.0,255.0,15044.0,1656.0,411.0,23541.0,606.0,1017.0,27933.0,368.0,1290.0
Black,Female,1988,12916.0,6763.0,203.0,7325.0,1299.0,391.0,11469.0,2965.0,255.0,14557.0,1491.0,419.0,19862.0,671.0,804.0,26072.0,338.0,1094.0
Black,Female,1987,12106.0,6518.0,193.0,7452.0,1304.0,360.0,11030.0,2930.0,256.0,13123.0,1367.0,412.0,18815.0,615.0,668.0,24383.0,302.0,1062.0
Black,Female,1986,11571.0,6403.0,215.0,6984.0,1337.0,375.0,10434.0,2804.0,244.0,12459.0,1436.0,516.0,19562.0,524.0,1129.0,24400.0,301.0,1149.0
Black,Female,1985,10904.0,6190.0,170.0,6879.0,1293.0,366.0,9918.0,2651.0,233.0,11488.0,1385.0,347.0,17779.0,569.0,569.0,21502.0,292.0,1003.0
Black,Female,1984,10482.0,6049.0,157.0,6754.0,1347.0,464.0,9527.0,2588.0,201.0,11115.0,1290.0,318.0,17134.0,513.0,618.0,21000.0,311.0,860.0
Black,Female,1983,9778.0,5589.0,6154.0,1267.0,9197.0,2380.0,10215.0,1210.0,14738.0,465.0,21539.0,267.0,,,,,,
Black,Female,1982,9024.0,5546.0,141.0,6047.0,1390.0,279.0,8737.0,2378.0,186.0,9574.0,1114.0,315.0,13284.0,428.0,576.0,19198.0,235.0,1077.0
Black,Female,1981,8225.0,5437.0,129.0,5404.0,1589.0,252.0,8088.0,2197.0,183.0,9329.0,1076.0,285.0,12839.0,381.0,527.0,17743.0,193.0,1011.0
Black,Female,1980,7684.0,121.0,4685.0,242.0,7508.0,164.0,8544.0,266.0,12389.0,568.0,17278.0,951.0,,,,,,
Black,Female,1979,6940.0,5275.0,112.0,4448.0,1638.0,232.0,6866.0,2180.0,154.0,7735.0,895.0,273.0,11555.0,363.0,504.0,15766.0,200.0,785.0
Asian,Both sexes,2019,75205.0,10793.0,1451.0,31016.0,562.0,2429.0,37327.0,1554.0,1547.0,42493.0,1679.0,1772.0,75200.0,3846.0,2133.0,119211.0,3151.0,3655.0
Asian,Both sexes,2018,71116.0,10421.0,1283.0,25219.0,532.0,1383.0,34610.0,1605.0,1138.0,41595.0,1826.0,1327.0,72857.0,3660.0,1767.0,117834.0,2795.0,3607.0
Asian,Both sexes,2017,67599.0,10215.0,1147.0,29306.0,568.0,1980.0,35164.0,1639.0,1492.0,38302.0,1894.0,1510.0,71845.0,3353.0,1953.0,109714.0,2759.0,2877.0
Asian,Both sexes,2016,63650.0,9941.0,1041.0,28588.0,536.0,2231.0,32548.0,1758.0,839.0,37793.0,1996.0,1481.0,68610.0,3022.0,1722.0,105557.0,2627.0,2774.0
Asian,Both sexes,2015,61603.0,9439.0,1043.0,23418.0,571.0,1011.0,34215.0,1533.0,1704.0,36914.0,1847.0,1856.0,65558.0,3056.0,1434.0,101667.0,2429.0,2809.0
Asian,Both sexes,2014,57351.0,9170.0,982.0,21969.0,577.0,1148.0,29809.0,1571.0,725.0,32524.0,1792.0,864.0,64864.0,3106.0,1695.0,97309.0,2123.0,2895.0
Asian,Both sexes,2013,54752.0,8732.0,1132.0,24616.0,588.0,2963.0,30996.0,1616.0,2013.0,34638.0,1767.0,2096.0,57841.0,2755.0,1626.0,96266.0,2003.0,3055.0
Asian,Both sexes,2012,55151.0,8469.0,893.0,23994.0,521.0,2865.0,30149.0,1445.0,1155.0,33239.0,1744.0,1357.0,59507.0,2717.0,1482.0,93772.0,2040.0,2341.0
Asian,Both sexes,2011,51500.0,8014.0,862.0,21640.0,563.0,1056.0,28302.0,1478.0,902.0,35034.0,1582.0,2040.0,57150.0,2645.0,1360.0,87205.0,1743.0,2327.0
Asian,Both sexes,2010,49263.0,8028.0,657.0,20747.0,595.0,749.0,28490.0,1520.0,634.0,30519.0,1629.0,711.0,56689.0,2576.0,1164.0,84369.0,1707.0,2032.0
Asian,Both sexes,2009,53419.0,7158.0,1106.0,20461.0,487.0,804.0,29312.0,1367.0,1104.0,32958.0,1356.0,1333.0,55730.0,2376.0,1609.0,98871.0,1569.0,3770.0
Asian,Both sexes,2008,51063.0,7118.0,904.0,21200.0,540.0,1178.0,29390.0,1213.0,1510.0,32671.0,1466.0,1214.0,58524.0,2298.0,1619.0,83721.0,1600.0,2486.0
Asian,Both sexes,2007,49571.0,7137.0,869.0,21305.0,512.0,764.0,28773.0,1241.0,730.0,34423.0,1456.0,1666.0,54451.0,2354.0,1458.0,81943.0,1572.0,2513.0
Asian,Both sexes,2006,50940.0,7073.0,1177.0,20573.0,599.0,719.0,29426.0,1301.0,1239.0,33238.0,1350.0,1526.0,56197.0,2268.0,2223.0,88408.0,1553.0,3608.0
Asian,Both sexes,2005,45751.0,6684.0,807.0,22909.0,598.0,1509.0,27082.0,1304.0,699.0,31460.0,1337.0,1187.0,51064.0,2108.0,1394.0,80145.0,1335.0,2646.0
Asian,Both sexes,2004,44361.0,6369.0,881.0,19684.0,497.0,893.0,28289.0,1192.0,1015.0,29524.0,1364.0,1035.0,47912.0,2119.0,1412.0,81259.0,1196.0,3277.0
Asian,Both sexes,2003,42163.0,6190.0,731.0,19558.0,539.0,1908.0,25704.0,1162.0,816.0,27209.0,1355.0,857.0,48333.0,1878.0,1282.0,74046.0,1254.0,2278.0
Asian,Both sexes,2002,40793.0,6086.0,801.0,16746.0,536.0,621.0,24900.0,1138.0,778.0,27340.0,1325.0,1388.0,46628.0,1911.0,1407.0,72852.0,1174.0,2587.0
Asian,Male,2019,85813.0,5706.0,2060.0,34015.0,318.0,2671.0,43907.0,820.0,2307.0,47902.0,856.0,2637.0,86639.0,1917.0,2952.0,131411.0,1793.0,4935.0
Asian,Male,2018,82771.0,5528.0,2032.0,28683.0,283.0,1830.0,40718.0,866.0,1455.0,46021.0,967.0,2033.0,87714.0,1823.0,3066.0,132138.0,1587.0,5327.0
Asian,Male,2017,79440.0,5452.0,1833.0,35303.0,283.0,2902.0,41576.0,913.0,2516.0,45422.0,964.0,2735.0,86369.0,1694.0,3384.0,122087.0,1597.0,4137.0
Asian,Male,2016,75610.0,5258.0,1701.0,36311.0,267.0,4158.0,37255.0,933.0,1287.0,44013.0,1022.0,2526.0,78528.0,1520.0,2643.0,124668.0,1513.0,4348.0
Asian,Male,2015,71362.0,5014.0,1636.0,26616.0,303.0,1583.0,39038.0,814.0,2962.0,39272.0,894.0,1642.0,74452.0,1587.0,2286.0,116397.0,1414.0,4284.0
Asian,Male,2014,66326.0,4817.0,1459.0,26516.0,279.0,1905.0,33374.0,823.0,1077.0,36790.0,903.0,1314.0,71685.0,1581.0,2525.0,112262.0,1229.0,3872.0
Asian,Male,2013,64019.0,4690.0,1788.0,24897.0,288.0,1558.0,35882.0,881.0,3568.0,37731.0,936.0,2446.0,66653.0,1417.0,2796.0,112837.0,1166.0,4602.0
Asian,Male,2012,64502.0,4455.0,1380.0,24256.0,251.0,1086.0,32794.0,748.0,1768.0,38417.0,871.0,2364.0,69657.0,1361.0,2404.0,105017.0,1222.0,3230.0
Asian,Male,2011,60397.0,4195.0,1367.0,25534.0,298.0,1810.0,32500.0,754.0,1577.0,42378.0,810.0,3852.0,65740.0,1316.0,1963.0,98812.0,1015.0,3242.0
Asian,Male,2010,57180.0,4196.0,1051.0,24064.0,315.0,1219.0,31683.0,766.0,972.0,34428.0,837.0,1096.0,64963.0,1285.0,1939.0,96506.0,992.0,2942.0
Asian,Male,2009,62328.0,3811.0,1810.0,21167.0,255.0,1107.0,33080.0,695.0,1914.0,37691.0,722.0,2326.0,62561.0,1198.0,2422.0,113711.0,940.0,5708.0
Asian,Male,2008,60007.0,3776.0,1491.0,23814.0,279.0,1473.0,34904.0,606.0,2879.0,37283.0,773.0,2008.0,67088.0,1186.0,2790.0,97068.0,931.0,3655.0
Asian,Male,2007,57890.0,3731.0,1347.0,24213.0,244.0,1216.0,33607.0,630.0,1103.0,41876.0,773.0,2971.0,60356.0,1156.0,1884.0,93604.0,926.0,3705.0
Asian,Male,2006,60516.0,3757.0,1911.0,23311.0,298.0,1164.0,32528.0,710.0,1244.0,37263.0,658.0,1565.0,67144.0,1150.0,3622.0,101676.0,939.0,5632.0
Asian,Male,2005,54257.0,3564.0,1351.0,28150.0,307.0,2650.0,30547.0,721.0,1019.0,35401.0,675.0,2055.0,60739.0,1048.0,2504.0,92552.0,811.0,3936.0
Asian,Male,2004,52544.0,3440.0,1359.0,20691.0,235.0,1171.0,31710.0,676.0,1527.0,33798.0,680.0,1814.0,56998.0,1079.0,2562.0,90870.0,770.0,3883.0
Asian,Male,2003,48890.0,3333.0,1058.0,23745.0,291.0,3439.0,28522.0,582.0,1192.0,31775.0,673.0,1447.0,52508.0,992.0,1475.0,83098.0,793.0,2989.0
Asian,Male,2002,48934.0,3272.0,1338.0,17659.0,298.0,866.0,29547.0,578.0,1260.0,32750.0,664.0,2608.0,55198.0,971.0,2453.0,82170.0,758.0,3647.0
Asian,Female,2019,63307.0,5087.0,1990.0,27108.0,244.0,4336.0,29959.0,733.0,1917.0,36864.0,823.0,2303.0,63824.0,1928.0,3012.0,103104.0,1358.0,5321.0
Asian,Female,2018,57945.0,4892.0,1396.0,21264.0,248.0,1983.0,27444.0,739.0,1662.0,36608.0,859.0,1569.0,58117.0,1837.0,1572.0,99047.0,1208.0,4309.0
Asian,Female,2017,54045.0,4763.0,1234.0,23370.0,285.0,2616.0,27099.0,725.0,1023.0,30923.0,930.0,1106.0,57009.0,1658.0,1783.0,92705.0,1162.0,3685.0
Asian,Female,2016,50220.0,4683.0,1054.0,20875.0,268.0,1366.0,27217.0,824.0,983.0,31258.0,973.0,1426.0,58567.0,1501.0,2149.0,79613.0,1114.0,2468.0
Asian,Female,2015,50544.0,4424.0,1195.0,19791.0,267.0,1127.0,28748.0,718.0,1345.0,34704.0,953.0,3248.0,55956.0,1469.0,1611.0,81135.0,1015.0,2882.0
Asian,Female,2014,47419.0,4353.0,1264.0,17691.0,297.0,1239.0,25886.0,748.0,921.0,28185.0,888.0,1086.0,57793.0,1525.0,2225.0,76741.0,893.0,4182.0
Asian,Female,2013,43995.0,4041.0,1248.0,24346.0,300.0,5607.0,25129.0,734.0,1041.0,31154.0,831.0,3496.0,48505.0,1337.0,1466.0,73159.0,836.0,3134.0
Asian,Female,2012,44770.0,4013.0,1066.0,23751.0,270.0,5433.0,27308.0,697.0,1449.0,28077.0,873.0,1305.0,49308.0,1355.0,1664.0,76942.0,817.0,3160.0
Asian,Female,2011,41727.0,3819.0,974.0,17263.0,265.0,839.0,23926.0,723.0,787.0,27328.0,772.0,960.0,48647.0,1329.0,1842.0,71001.0,727.0,3119.0
Asian,Female,2010,40595.0,3832.0,729.0,17016.0,280.0,740.0,25246.0,754.0,793.0,26383.0,791.0,868.0,48453.0,1291.0,1246.0,67541.0,715.0,2473.0
Asian,Female,2009,43270.0,3346.0,1125.0,19684.0,232.0,1166.0,25420.0,672.0,1032.0,27574.0,634.0,997.0,48783.0,1178.0,2085.0,76637.0,628.0,3704.0
Asian,Female,2008,40954.0,3341.0,887.0,18395.0,260.0,1841.0,23886.0,607.0,842.0,27528.0,693.0,1216.0,49380.0,1111.0,1455.0,65148.0,669.0,2865.0
Asian,Female,2007,40455.0,3405.0,1036.0,18643.0,267.0,908.0,23785.0,611.0,889.0,25992.0,683.0,1016.0,48748.0,1197.0,2196.0,65206.0,645.0,2850.0
Asian,Female,2006,40089.0,3315.0,1233.0,17855.0,300.0,806.0,25696.0,590.0,2269.0,29415.0,692.0,2567.0,44932.0,1118.0,2477.0,68084.0,613.0,2730.0
Asian,Female,2005,36033.0,3119.0,726.0,17383.0,291.0,1231.0,22789.0,582.0,880.0,27439.0,662.0,1137.0,41494.0,1059.0,1145.0,60934.0,524.0,2581.0
Asian,Female,2004,34748.0,2929.0,1020.0,18780.0,262.0,1327.0,23802.0,516.0,1183.0,25280.0,684.0,969.0,38488.0,1040.0,989.0,63894.0,426.0,5818.0
Asian,Female,2003,34315.0,2857.0,963.0,14614.0,247.0,758.0,22876.0,580.0,1096.0,22703.0,682.0,880.0,43655.0,885.0,2143.0,58489.0,461.0,3283.0
Asian,Female,2002,31328.0,2814.0,704.0,15595.0,237.0,873.0,20094.0,559.0,831.0,21912.0,661.0,871.0,37766.0,939.0,1232.0,55851.0,415.0,2755.0
Hispanic Origin (of any race),Both Sexes,2019,41353.0,29534.0,424.0,29080.0,6043.0,647.0,34876.0,9335.0,485.0,39084.0,7876.0,742.0,56698.0,4408.0,1212.0,86723.0,1870.0,3501.0
Hispanic Origin (of any race),Both Sexes,2018,40613.0,28535.0,514.0,28024.0,6288.0,593.0,35105.0,9172.0,764.0,37847.0,7523.0,797.0,59364.0,3910.0,1986.0,87619.0,1641.0,4009.0
Hispanic Origin (of any race),Both Sexes,2017,38816.0,27827.0,404.0,27291.0,6237.0,598.0,34472.0,8807.0,714.0,37370.0,7587.0,763.0,54190.0,3767.0,1016.0,83067.0,1428.0,2846.0
Hispanic Origin (of any race),Both Sexes,2016,38276.0,26936.0,466.0,29264.0,6260.0,931.0,34751.0,8477.0,919.0,35288.0,7404.0,607.0,53283.0,3421.0,1258.0,79831.0,1373.0,3054.0
Hispanic Origin (of any race),Both Sexes,2015,37083.0,26263.0,448.0,25697.0,6630.0,667.0,31647.0,8240.0,618.0,35780.0,6887.0,702.0,58152.0,3096.0,1872.0,82499.0,1409.0,3671.0
Hispanic Origin (of any race),Both Sexes,2014,33944.0,25254.0,359.0,23747.0,6819.0,406.0,30329.0,7869.0,553.0,33822.0,6541.0,759.0,52143.0,2852.0,1275.0,73952.0,1171.0,2905.0
Hispanic Origin (of any race),Both Sexes,2013,32368.0,24393.0,370.0,22431.0,6704.0,330.0,28415.0,7313.0,439.0,32153.0,6524.0,627.0,50673.0,2759.0,1866.0,74926.0,1090.0,3516.0
Hispanic Origin (of any race),Both Sexes,2012,31596.0,23811.0,324.0,21087.0,6545.0,290.0,28097.0,7462.0,495.0,30694.0,6042.0,509.0,50592.0,2707.0,1459.0,77985.0,1054.0,3196.0
Hispanic Origin (of any race),Both Sexes,2011,30739.0,23027.0,296.0,20953.0,6583.0,291.0,26681.0,7176.0,388.0,31423.0,5773.0,476.0,47873.0,2528.0,1122.0,78606.0,966.0,3881.0
Hispanic Origin (of any race),Both Sexes,2010,29971.0,22326.0,253.0,20625.0,6469.0,404.0,26314.0,6981.0,323.0,30826.0,5551.0,423.0,47753.0,2390.0,1118.0,71403.0,935.0,2264.0
Hispanic Origin (of any race),Both Sexes,2009,29565.0,21551.0,320.0,19816.0,6667.0,328.0,25998.0,6753.0,402.0,31004.0,5036.0,684.0,49017.0,2256.0,1415.0,74675.0,837.0,3520.0
Hispanic Origin (of any race),Both Sexes,2008,30291.0,21853.0,331.0,21310.0,6972.0,469.0,27020.0,6702.0,332.0,31644.0,5149.0,622.0,48081.0,2225.0,1605.0,77630.0,802.0,3815.0
Hispanic Origin (of any race),Both Sexes,2007,29910.0,21561.0,292.0,21303.0,6888.0,401.0,27604.0,6682.0,492.0,31040.0,5000.0,496.0,44696.0,2114.0,916.0,73111.0,874.0,3168.0
Hispanic Origin (of any race),Both Sexes,2006,29155.0,21209.0,331.0,20581.0,7134.0,401.0,27508.0,6495.0,667.0,31380.0,4863.0,633.0,45371.0,2038.0,1026.0,70432.0,678.0,3385.0
Hispanic Origin (of any race),Both Sexes,2005,27760.0,20025.0,269.0,19294.0,6995.0,228.0,25659.0,6080.0,420.0,29836.0,4467.0,485.0,45933.0,1775.0,1185.0,70916.0,705.0,3870.0
Hispanic Origin (of any race),Both Sexes,2004,27263.0,19343.0,270.0,19025.0,6935.0,245.0,25823.0,5741.0,490.0,29260.0,4369.0,451.0,45166.0,1669.0,1408.0,69839.0,629.0,3581.0
Hispanic Origin (of any race),Both Sexes,2003,25810.0,18786.0,287.0,18349.0,6767.0,260.0,23472.0,5517.0,336.0,28494.0,4235.0,716.0,43676.0,1663.0,1632.0,62794.0,603.0,3093.0
Hispanic Origin (of any race),Both Sexes,2002,25824.0,18409.0,352.0,18981.0,6748.0,500.0,24163.0,5499.0,481.0,27757.0,4024.0,676.0,40949.0,1568.0,1640.0,67679.0,569.0,4744.0
Hispanic Origin (of any race),Both Sexes,2001,24786.0,17575.0,327.0,18334.0,6533.0,495.0,22866.0,5265.0,443.0,27523.0,3842.0,600.0,40586.0,1416.0,1570.0,62194.0,517.0,4311.0
Hispanic Origin (of any race),Both Sexes,2000,23855.0,17161.0,348.0,17156.0,6428.0,441.0,22009.0,5145.0,340.0,25276.0,3737.0,459.0,44661.0,1395.0,2676.0,63908.0,455.0,5138.0
Hispanic Origin (of any race),Both Sexes,1999,21809.0,16275.0,303.0,15991.0,6021.0,475.0,20443.0,4907.0,318.0,24207.0,3662.0,544.0,35704.0,1194.0,1560.0,55097.0,491.0,4266.0
Hispanic Origin (of any race),Both Sexes,1998,22117.0,14372.0,508.0,15832.0,5281.0,752.0,20978.0,4219.0,759.0,23091.0,3289.0,925.0,35014.0,1156.0,1650.0,62583.0,425.0,7812.0
Hispanic Origin (of any race),Both Sexes,1997,20766.0,13972.0,421.0,15069.0,5238.0,600.0,19558.0,4082.0,605.0,22001.0,3075.0,546.0,33465.0,1140.0,1685.0,58571.0,437.0,6897.0
Hispanic Origin (of any race),Both Sexes,1996,19439.0,13365.0,458.0,13287.0,5062.0,263.0,18528.0,3783.0,444.0,22209.0,3096.0,1185.0,32955.0,1027.0,2746.0,49873.0,398.0,7497.0
Hispanic Origin (of any race),Both Sexes,1995,18262.0,12434.0,428.0,13068.0,4784.0,305.0,18333.0,3594.0,1070.0,19923.0,2856.0,904.0,30602.0,866.0,1678.0,45612.0,334.0,3004.0
Hispanic Origin (of any race),Both Sexes,1994,18568.0,12035.0,478.0,13733.0,4686.0,944.0,17323.0,3444.0,401.0,21041.0,2723.0,693.0,29165.0,844.0,1337.0,51898.0,337.0,6534.0
Hispanic Origin (of any race),Both Sexes,1993,17102.0,11644.0,344.0,11852.0,4425.0,263.0,16591.0,3367.0,419.0,19043.0,2728.0,548.0,30359.0,799.0,3355.0,45034.0,325.0,4169.0
Hispanic Origin (of any race),Both Sexes,1992,16501.0,11350.0,266.0,11674.0,4426.0,289.0,16438.0,3349.0,446.0,18769.0,2515.0,553.0,27944.0,767.0,1365.0,40741.0,293.0,3318.0
Hispanic Origin (of any race),Both Sexes,1991,16300.0,10006.0,270.0,11335.0,3906.0,262.0,16142.0,3045.0,391.0,19075.0,2080.0,580.0,26623.0,665.0,1422.0,39609.0,311.0,3664.0
Hispanic Origin (of any race),Both Sexes,1990,15943.0,9729.0,222.0,10368.0,3929.0,210.0,15417.0,3282.0,297.0,19206.0,1534.0,540.0,25703.0,601.0,1208.0,38075.0,382.0,2477.0
Hispanic Origin (of any race),Both Sexes,1989,15714.0,9570.0,234.0,11500.0,3985.0,222.0,14901.0,3188.0,296.0,18707.0,1513.0,608.0,28157.0,535.0,1519.0,39273.0,349.0,2861.0
Hispanic Origin (of any race),Both Sexes,1988,15007.0,9226.0,245.0,11045.0,3824.0,240.0,14667.0,2953.0,315.0,18101.0,1511.0,716.0,23745.0,596.0,1134.0,33843.0,340.0,3064.0
Hispanic Origin (of any race),Both Sexes,1987,14695.0,8817.0,250.0,10961.0,3457.0,272.0,13958.0,2982.0,342.0,16899.0,1400.0,524.0,23105.0,644.0,1139.0,34413.0,335.0,3055.0
Hispanic Origin (of any race),Both Sexes,1986,13558.0,8393.0,205.0,9896.0,3379.0,237.0,13389.0,2835.0,300.0,16523.0,1411.0,584.0,22707.0,471.0,1248.0,28316.0,295.0,1822.0
Hispanic Origin (of any race),Both Sexes,1985,13120.0,7840.0,195.0,9956.0,3223.0,257.0,13044.0,2661.0,297.0,15318.0,1226.0,513.0,20878.0,458.0,1104.0,28357.0,273.0,1843.0
Hispanic Origin (of any race),Both Sexes,1984,12583.0,7349.0,228.0,9671.0,3129.0,293.0,12858.0,2457.0,343.0,14359.0,1116.0,622.0,19924.0,381.0,1226.0,26327.0,265.0,2222.0
Hispanic Origin (of any race),Both Sexes,1983,11901.0,6222.0,9473.0,2674.0,12077.0,2030.0,13371.0,976.0,17972.0,320.0,24352.0,222.0,,,,,,
Hispanic Origin (of any race),Both Sexes,1982,11307.0,5914.0,221.0,8498.0,2583.0,283.0,11539.0,1967.0,317.0,13108.0,873.0,546.0,18186.0,303.0,1463.0,28167.0,186.0,2784.0
Hispanic Origin (of any race),Both Sexes,1981,10872.0,5930.0,194.0,8645.0,2648.0,255.0,11046.0,1966.0,304.0,12971.0,834.0,516.0,16114.0,320.0,1174.0,24082.0,161.0,2557.0
Hispanic Origin (of any race),Both Sexes,1980,10062.0,5723.0,197.0,8119.0,2649.0,284.0,10182.0,1824.0,309.0,11891.0,808.0,558.0,15676.0,283.0,1267.0,21910.0,157.0,2623.0
Hispanic Origin (of any race),Both Sexes,1979,9248.0,5545.0,175.0,7683.0,2533.0,272.0,9338.0,1812.0,272.0,10181.0,768.0,458.0,14940.0,240.0,1315.0,18273.0,190.0,1780.0
Hispanic Origin (of any race),Both Sexes,1978,8460.0,4898.0,169.0,7138.0,2345.0,305.0,8512.0,1554.0,258.0,9575.0,661.0,446.0,13985.0,213.0,1195.0,17333.0,125.0,1903.0
Hispanic Origin (of any race),Both Sexes,1977,7761.0,4752.0,130.0,6547.0,2306.0,205.0,8079.0,1461.0,226.0,8172.0,656.0,333.0,12572.0,210.0,864.0,16660.0,118.0,1753.0
Hispanic Origin (of any race),Both Sexes,1976,7081.0,4303.0,128.0,5984.0,2107.0,199.0,7580.0,1309.0,215.0,7252.0,592.0,333.0,11242.0,177.0,887.0,14000.0,118.0,1667.0
Hispanic Origin (of any race),Both Sexes,1975,6567.0,4078.0,124.0,5462.0,2028.0,198.0,6759.0,1293.0,183.0,7154.0,474.0,351.0,10573.0,173.0,796.0,15756.0,111.0,1994.0
Hispanic Origin (of any race),Male,2019,45995.0,16414.0,670.0,33770.0,3828.0,949.0,39349.0,5637.0,694.0,45400.0,3973.0,1279.0,66080.0,2101.0,2174.0,96873.0,873.0,6690.0
