Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table A-3.  Mean Earnings of Workers 18 Years and Over, by Educational Attainment, Race, Hispanic Origin, and Sex:  1975 to 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Mean annual earnings [dollars].  Total number with earnings in thousands.  Standard error of the mean.  Noninstitutionalized population.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Race, sex, and earnings year",,,Total,,,Not a high school graduate,,,High school graduate,,,Some college/associate's degree,,,Bachelor's degree,,,Advanced degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Both Sexes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1979,"11,332","3,269",268,"9,393","1,615",378,"11,714",952,448,"12,489",441,714,"18,923",142,"2,113","21,299",118,"2,619",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1978,"10,473","2,915",258,"8,836","1,498",427,"10,940",815,426,"11,545",393,665,"16,898",127,"1,861","20,702",82,"2,730",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,"9,655","2,833",198,"8,192","1,460",281,"10,386",776,372,"9,924",391,501,"15,189",120,"1,420","19,025",85,"2,291",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1976,"8,787","2,571",195,"7,440","1,321",272,"9,640",712,345,"8,843",342,508,"13,650",114,"1,299","16,184",81,"2,339",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1975,"8,162","2,456",189,"6,745","1,287",268,"8,546",691,289,"8,807",279,536,"12,881",113,"1,142","17,991",86,"2,535",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019,"35,546","13,120",529,"20,976","2,215",799,"28,057","3,698",676,"32,653","3,902",828,"48,151","2,306","1,309","77,841",997,"3,518",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018,"35,190","12,519",764,"19,793","2,165",501,"27,405","3,577",998,"32,013","3,807","1,102","54,567","2,018","3,036","71,121",951,"4,285",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2017,"32,961","12,067",585,"18,292","2,132",397,"27,743","3,478","1,242","31,127","3,753","1,026","46,237","1,921","1,135","72,396",781,"3,439",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2016,"30,569","11,747",460,"20,694","2,135","1,272","24,313","3,340",467,"28,587","3,752",620,"44,608","1,778","1,488","63,592",740,"2,829",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015,"31,160","11,301",603,"18,138","2,302",723,"24,151","3,258",642,"30,937","3,460","1,049","46,372","1,525","1,968","71,443",754,"4,869",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2014,"28,291","10,775",482,"17,461","2,340",817,"24,412","3,183",855,"27,210","3,209",741,"44,347","1,412","1,773","57,642",629,"2,140",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2013,"27,504","10,412",430,"16,971","2,229",502,"22,999","2,946",683,"27,184","3,302",731,"42,216","1,398","1,289","59,686",535,"3,249",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2012,"26,479","10,189",378,"15,174","2,166",304,"21,832","3,001",387,"25,408","3,093",458,"41,277","1,398","1,408","66,273",528,"4,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2011,"26,230","9,892",375,"14,949","2,305",281,"21,988","2,904",368,"26,032","2,844",607,"41,483","1,327","1,395","62,746",510,"3,870",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2010,"25,554","9,553",288,"14,667","2,206",247,"21,136","2,793",284,"25,797","2,795",384,"39,292","1,243","1,203","61,673",515,"2,830",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2009,"25,713","8,907",447,"16,170","2,180",768,"21,473","2,644",483,"26,065","2,550",853,"39,566","1,134","1,041","64,405",398,"4,897",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2008,"24,646","8,995",334,"14,960","2,552",318,"21,725","2,712",399,"25,226","2,534",626,"39,231","1,115","1,382","56,175",380,"2,930",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2007,"25,262","8,676",362,"15,574","2,162",559,"22,283","2,570",602,"26,179","2,489",659,"38,584","1,057","1,094","56,129",396,"2,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2006,"24,104","8,497",378,"15,072","2,214",743,"20,608","2,611",359,"26,260","2,362",770,"38,825",971,"1,248","52,896",337,"2,901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2005,"22,887","8,009",290,"14,365","2,250",308,"19,864","2,413",383,"24,493","2,141",536,"37,003",879,"1,110","55,554",324,"2,732",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004,"21,967","7,781",263,"13,830","2,302",230,"20,037","2,301",304,"23,796","2,128",389,"34,949",753,"1,515","53,887",298,"3,163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2003,"21,391","7,591",342,"13,632","2,210",451,"18,967","2,283",363,"22,411","2,042",466,"37,550",795,"2,042","51,294",258,"3,160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2002,"21,008","7,430",418,"13,694","2,241",568,"18,810","2,293",324,"22,035","1,911",437,"35,357",753,"2,175","58,623",230,"7,783",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2001,"20,330","7,316",450,"13,976","2,243",867,"17,786","2,279",336,"22,229","1,879",783,"35,142",668,"2,699","47,176",245,"2,786",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,"19,115","7,164",415,"12,622","2,191",930,"17,180","2,204",314,"20,372","1,864",413,"33,489",672,"2,303","47,057",232,"3,340",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1999,"18,132","6,699",469,"12,722","2,077","1,260","16,548","2,032",460,"19,588","1,789",542,"29,108",570,"1,134","42,463",230,"2,420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1998,"17,461","6,804",557,"12,273","1,854","1,377","15,952","1,806",539,"20,460","1,639",689,"29,317",587,"2,144","38,422",200,"3,471",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1997,"16,781","5,711",554,"10,503","1,794","1,072","15,747","1,691",637,"17,759","1,477",611,"29,173",584,"2,635","43,051",165,"6,178",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1996,"15,841","5,390",578,"9,867","1,680",332,"14,635","1,667",577,"16,856","1,409",581,"27,407",495,"1,503","50,960",139,"17,662",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1995,"15,310","5,096",685,"9,809","1,644",565,"14,989","1,555","1,541","17,521","1,380","1,542","25,338",399,"1,722","36,255",118,"3,079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1994,"14,631","4,918",404,"8,559","1,576",304,"14,313","1,508",546,"17,309","1,313","1,081","23,867",393,"1,272","37,269",127,"4,428",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1993,"13,602","4,687",329,"8,489","1,498",297,"13,584","1,413",595,"15,250","1,284",609,"21,627",361,"1,258","34,001",131,"4,391",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1992,"13,774","4,539",328,"8,854","1,445",363,"13,277","1,461",470,"15,858","1,162",702,"22,144",352,"1,456","34,457",119,"3,319",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1991,"13,073","4,074",332,"7,960","1,358",310,"13,037","1,339",463,"15,720",948,723,"20,791",309,"1,675","30,713",119,"3,791",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1990,"12,516","3,984",254,"5,093","1,367",309,"12,109","1,470",354,"15,245",682,629,"19,378",287,"1,331","27,184",177,"1,824",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1989,"12,307","3,929",266,"8,256","1,353",401,"11,799","1,477",365,"14,482",703,629,"22,617",243,"1,379","26,700",153,"2,265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1988,"11,573","3,749",290,"7,597","1,307",349,"11,284","1,332",392,"14,012",700,662,"19,707",263,"1,171","24,444",146,"3,675",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1987,"11,234","3,569",286,"7,350","1,176",354,"10,627","1,366",417,"13,929",642,688,"18,003",261,"1,033","26,584",124,"3,436",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1986,"10,457","3,356",231,"7,130","1,117",338,"10,319","1,289",332,"12,648",633,547,"16,142",197,"1,165","22,071",119,"2,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1985,"9,865","3,138",236,"6,699","1,112",367,"9,784","1,170",327,"11,791",548,639,"15,503",191,"1,098","22,480",118,"2,173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1984,"9,150","3,005",252,"6,438","1,107",436,"9,492","1,138",380,"10,848",505,619,"14,404",158,"1,310","18,706",97,"2,355",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1983,"8,704","2,645",(NA),"6,305",996,(NA),"9,261",956,(NA),"9,750",462,(NA),"13,507",150,(NA),"16,817",81,(NA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1982,"8,195","2,434",233,"5,781",961,373,"8,668",884,374,"9,896",378,605,"13,719",150,"1,235","15,244",61,"2,247",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1981,"7,723","2,426",215,"5,486",962,364,"8,292",929,342,"9,483",345,563,"12,292",143,"1,101","15,503",47,"2,767",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1980,"6,770","2,322",199,"5,028",942,358,"6,923",863,287,"8,808",357,576,"10,568",116,"1,177","14,668",43,"2,935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1979,"6,255","2,276",184,"4,675",918,347,"6,708",860,286,"7,069",327,482,"9,168",98,"1,001","13,313",72,"1,905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1978,"5,501","1,983",173,"4,135",847,377,"5,834",739,273,"6,686",268,507,"9,684",86,"1,098","10,908",43,"1,872",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,"4,964","1,919",137,"3,707",846,276,"5,466",685,236,"5,588",265,367,"9,082",90,691,"10,569",33,"2,119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1976,"4,548","1,732",132,"3,537",786,273,"5,124",597,229,"5,075",250,373,"6,884",63,826,"9,218",37,"1,425",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1975,"4,152","1,622",122,"3,233",741,277,"4,708",602,209,"4,790",195,376,"6,226",60,805,"8,067",25,"1,536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White alone or in combination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Both sexes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019,"59,471","132,975",375,"29,623","9,258",598,"40,726","33,763",367,"46,542","37,662",486,"74,677","33,652",821,"106,928","18,637","1,676",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018,"56,743","131,740",342,"27,594","9,782",561,"40,561","34,044",441,"44,105","37,541",491,"73,115","32,347",797,"100,070","18,024","1,357",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2017,"54,535","130,955",248,"27,180","10,024",435,"39,663","34,025",373,"42,587","37,794",328,"69,035","31,680",518,"98,853","17,429","1,091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2016,"52,885","129,984",246,"28,492","9,901",662,"38,170","34,183",346,"41,339","38,480",311,"68,292","30,471",575,"95,331","16,947","1,034",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015,"50,981","129,762",237,"26,268","10,609",512,"36,948","33,995",315,"39,835","38,596",291,"66,733","29,682",592,"92,570","16,877","1,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2014,"48,772","127,557",223,"25,894","10,790",570,"35,354","34,216",278,"39,403","37,756",329,"63,404","28,754",513,"88,614","16,039",966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2013,"47,280","127,029",248,"24,264","10,470",531,"34,101","34,391",275,"37,330","38,164",318,"60,859","28,374",557,"91,349","15,627","1,246",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2012,"46,650","126,527",208,"22,019","10,696",320,"33,803","34,058",266,"36,751","38,544",260,"61,399","28,072",489,"90,761","15,154","1,034",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2011,"45,898","125,256",199,"21,648","11,080",283,"33,584","34,425",288,"36,139","37,718",225,"61,173","27,455",454,"89,895","14,575","1,038",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2010,"44,103","124,707",180,"21,427","10,993",406,"32,023","34,908",235,"35,295","37,355",214,"59,122","26,941",458,"85,131","14,511",843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2009,"43,213","127,001",182,"20,468","11,708",303,"31,351","36,656",204,"35,540","37,684",244,"57,662","26,920",456,"86,067","14,031",950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2008,"43,550","129,419",181,"21,483","12,630",321,"32,072","37,299",220,"35,528","38,593",226,"59,824","26,784",503,"84,687","14,111",886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2007,"43,000","129,203",174,"22,245","12,568",321,"32,126","37,570",221,"35,565","38,664",215,"58,565","26,583",462,"82,309","13,816",888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2006,"42,249","128,366",188,"21,389","13,800",260,"31,998","37,915",266,"35,276","37,530",249,"57,807","26,035",501,"83,002","13,084",974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2005,"40,592","126,882",184,"20,225","13,424",204,"30,494","37,723",216,"34,279","38,149",252,"55,758","24,919",514,"81,437","12,665","1,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004,"38,855","125,388",172,"19,365","13,540",252,"29,595","37,639",223,"32,736","37,287",210,"52,790","24,361",437,"78,747","12,560","1,034",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2003,"37,958","124,456",144,"18,734","16,282",183,"27,915","45,064",159,"31,498","44,048",193,"51,206","28,672",420,"74,601","14,592",803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2002,"37,290","124,337",167,"19,278","13,957",303,"28,107","37,863",203,"31,767","36,639",231,"52,509","23,865",497,"73,773","12,011",863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019,"69,210","70,994",538,"34,298","5,873",761,"46,842","20,261",492,"56,095","19,119",731,"90,075","16,818","1,244","131,766","8,921","2,592",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018,"66,592","70,514",531,"32,386","6,295",819,"47,055","20,239",615,"54,167","19,000",830,"87,522","16,344","1,258","125,050","8,634","2,333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2017,"63,878","70,702",412,"32,027","6,487",677,"46,168","20,339",563,"51,639","19,232",564,"83,192","16,168",888,"121,690","8,475","2,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2016,"62,320","69,912",388,"33,197","6,429",911,"45,231","20,309",538,"49,685","19,464",500,"83,750","15,397",948,"116,488","8,312","1,718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015,"60,364","69,837",374,"31,168","6,866",737,"43,502","20,177",465,"47,616","19,353",445,"82,230","15,086",994,"115,139","8,353","1,693",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2014,"58,148","68,611",358,"30,224","6,989",766,"41,291","20,145",376,"48,193","18,921",552,"78,225","14,611",877,"112,251","7,943","1,694",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2013,"55,973","68,402",400,"28,083","6,948",756,"39,102","20,165",334,"45,088","19,129",510,"73,958","14,346",972,"117,941","7,813","2,183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2012,"55,544","68,068",332,"25,701","6,940",465,"39,910","19,715",417,"44,814","19,246",453,"74,396","14,465",791,"113,877","7,700","1,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2011,"54,835","67,254",319,"25,719","7,030",418,"40,105","19,864",466,"44,135","18,674",386,"73,557","14,163",685,"112,265","7,521","1,729",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2010,"52,457","66,903",293,"25,205","7,032",613,"37,540","20,047",369,"42,500","18,359",355,"72,047","14,004",734,"105,955","7,461","1,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2009,"51,133","68,426",289,"23,327","7,561",406,"36,321","21,162",304,"42,760","18,567",397,"71,166","13,886",765,"106,451","7,248","1,544",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2008,"52,502","69,829",292,"25,254","8,263",469,"37,740","21,192",329,"43,307","19,210",369,"75,024","13,734",828,"107,065","7,428","1,491",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2007,"51,599","70,073",282,"25,848","8,305",447,"38,072","21,436",345,"42,760","19,343",327,"73,390","13,697",784,"103,214","7,291","1,503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2006,"50,826","69,702",302,"24,524","9,055",321,"38,699","21,401",444,"42,605","18,686",397,"71,602","13,443",825,"103,097","7,116","1,546",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2005,"49,437","68,987",306,"23,526","8,740",281,"36,608","21,289",350,"42,139","18,954",439,"69,821","13,045",855,"102,904","6,957","1,734",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004,"47,275","67,758",281,"22,576","8,751",368,"35,348","21,074",345,"40,627","18,362",362,"65,498","12,728",705,"99,543","6,843","1,704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2003,"45,989","67,198",264,"21,787","8,682",247,"34,225","20,534",278,"39,555","18,421",374,"65,237","12,774",801,"93,792","6,785","1,408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2002,"45,682","67,082",272,"22,601","8,977",439,"33,846","20,430",317,"39,439","18,377",408,"65,548","12,621",795,"92,575","6,675","1,381",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019,"48,317","61,981",435,"21,512","3,385",759,"31,548","13,502",428,"36,692","18,542",525,"59,294","16,834",890,"84,123","9,716","1,809",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018,"45,400","61,226",369,"18,941","3,486",430,"31,039","13,805",546,"33,793","18,541",454,"58,401","16,002",868,"77,099","9,390","1,274",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2017,"43,571","60,252",286,"18,290","3,537",353,"29,995","13,686",482,"33,208","18,562",365,"54,279","15,511",576,"77,240","8,954","1,101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2016,"41,905","60,071",273,"19,780","3,472",817,"27,833","13,873",297,"32,797","19,015",350,"52,505","15,074",603,"74,966","8,635","1,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015,"40,046","59,924",261,"17,281","3,743",477,"27,376","13,817",353,"32,010","19,243",362,"50,716","14,596",586,"70,453","8,523","1,005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2014,"37,859","58,945",232,"17,930","3,801",770,"26,854","14,070",395,"30,572","18,835",340,"48,092","14,143",467,"65,422","8,095",833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2013,"37,138","58,627",257,"16,731","3,522",472,"27,011","14,226",455,"29,534","19,035",363,"47,464","14,028",479,"64,762","7,814","1,041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2012,"36,293","58,458",220,"15,217","3,756",264,"25,408","14,343",244,"28,709","19,298",240,"47,584","13,607",528,"66,881","7,454","1,069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2011,"35,534","58,001",211,"14,581","4,050",217,"24,687","14,561",220,"28,299","19,044",218,"47,976","13,292",561,"66,041","7,053","1,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2010,"34,434","57,804",182,"14,718","3,960",246,"24,581","14,861",217,"28,332","18,995",230,"45,130","12,937",492,"63,092","7,050",727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2009,"33,961","58,574",197,"15,254","4,146",414,"24,561","15,494",230,"28,528","19,116",277,"43,275","13,034",431,"64,283","6,782",986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2008,"33,060","59,590",184,"14,345","4,366",223,"24,615","16,107",256,"27,819","19,383",250,"43,826","13,050",507,"59,814","6,683",731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2007,"32,810","59,130",170,"15,226","4,263",338,"24,226","16,134",213,"28,362","19,321",267,"42,807","12,886",410,"58,951","6,525",721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2006,"32,059","58,663",193,"15,408","4,745",429,"23,313","16,514",185,"28,008","18,844",292,"43,078","12,591",507,"59,042","5,968",968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2005,"30,053","57,895",163,"14,066","4,684",225,"22,574","16,434",181,"25,518","19,194",233,"40,306","11,873",480,"55,273","5,707",736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004,"28,954","57,630",167,"13,498","4,788",199,"22,277","16,566",240,"25,079","18,925",202,"38,886","11,633",452,"53,859","5,718",871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2003,"28,532","57,257",161,"14,086","4,684",306,"22,029","16,926",210,"25,093","18,616",218,"37,750","11,476",407,"53,021","5,552",882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
